iter	TotalF1	MultiClass
0	0.9866334599	1.010566175
1	0.9858621285	0.9338275471
2	0.9865232744	0.8655784432
3	0.9868377299	0.8055808865
4	0.987384558	0.7507904947
5	0.9905841497	0.6981530279
6	0.9894119493	0.6581583911
7	0.9897719009	0.6178054481
8	0.9909042218	0.579375453
9	0.988537696	0.5452620517
10	0.9869428528	0.5131876637
11	0.9880530347	0.4872917263
12	0.989052064	0.4603807417
13	0.988608314	0.4350472933
14	0.988736213	0.4119346773
15	0.9889417587	0.3921260625
16	0.9901632453	0.3718927494
17	0.9892741967	0.3515428619
18	0.9901632453	0.3333968363
19	0.9913855691	0.315693775
20	0.9906077414	0.3006532514
21	0.9916077968	0.2869424206
22	0.9919411316	0.2741056832
23	0.9934949869	0.259166036
24	0.9942691159	0.2459107814
25	0.9939392377	0.2340413406
26	0.9944910896	0.2227491167
27	0.9950413747	0.2118009505
28	0.9953726299	0.2021793645
29	0.996143434	0.1921361698
30	0.9962536364	0.1833367981
31	0.9960332311	0.174293822
32	0.9962536364	0.1668465355
33	0.9968046399	0.1594417484
34	0.9976862211	0.1518479992
35	0.9970250377	0.1456512167
36	0.997796417	0.1400154871
37	0.9979066126	0.1336956462
38	0.9980168078	0.1272846237
39	0.9980168078	0.1221860951
40	0.9980168078	0.1171140527
41	0.9980168078	0.1119584498
42	0.9980168078	0.1076487706
43	0.9980168078	0.1034711914
44	0.9980168078	0.09962830542
45	0.9980168078	0.09586002991
46	0.9980168078	0.09196860188
47	0.9980168078	0.08775358122
48	0.9980168078	0.08423872371
49	0.9980168078	0.08112935885
50	0.9980168078	0.07806357897
51	0.9980168078	0.0752402489
52	0.9980168078	0.07237980958
53	0.9980168078	0.06932152269
54	0.9980168078	0.06672383127
55	0.9980168078	0.06424744612
56	0.9980168078	0.06202455034
57	0.9980168078	0.05917062476
58	0.9980168078	0.05697029528
59	0.9980168078	0.05456909382
60	0.9980168078	0.05239605144
61	0.9980168078	0.05041491476
62	0.9980168078	0.04854517681
63	0.9980168078	0.046658344
64	0.9980168078	0.04468642797
65	0.9980168078	0.04307977833
66	0.9980168078	0.04138954901
67	0.9980168078	0.04015430645
68	0.9980168078	0.03866861075
69	0.9980168078	0.03761080975
70	0.9980168078	0.03642785453
71	0.9980168078	0.03513460515
72	0.9980168078	0.03393779278
73	0.9980168078	0.03317351101
74	0.9980168078	0.03231426221
75	0.9980168078	0.03158395325
76	0.9980168078	0.03052746006
77	0.9980168078	0.02983297823
78	0.9980168078	0.02882675547
79	0.9980168078	0.02797723596
80	0.9980168078	0.02730603352
81	0.9980168078	0.02644485968
82	0.9980168078	0.0257234987
83	0.9980168078	0.02485198573
84	0.9980168078	0.02418419799
85	0.9980168078	0.02340463336
86	0.9980168078	0.02267376882
87	0.9980168078	0.02200741415
88	0.9980168078	0.02133911776
89	0.9980168078	0.02085445079
90	0.9980168078	0.02034876578
91	0.9980168078	0.01991291202
92	0.9980168078	0.01928670144
93	0.9980168078	0.01884653899
94	0.9980168078	0.01834959646
95	0.9980168078	0.01792532991
96	0.9980168078	0.01755099603
97	0.9980168078	0.01704543304
98	0.9980168078	0.0166563038
99	0.9980168078	0.01630474897
100	0.9980168078	0.01576977892
101	0.9980168078	0.0154901258
102	0.9980168078	0.0152374444
103	0.9980168078	0.01487484165
104	0.9980168078	0.01447753074
105	0.9982371976	0.01411743667
106	0.9982371976	0.01377964166
107	0.9982371976	0.01347440897
108	0.9982371976	0.0131971222
109	0.9982371976	0.01291683626
110	0.9982371976	0.01278447788
