iter	Passed	Remaining
0	6	2010
1	13	2003
2	19	1975
3	26	1941
4	32	1901
5	34	1683
6	40	1693
7	46	1709
8	53	1718
9	59	1717
10	62	1633
11	68	1647
12	74	1645
13	80	1642
14	87	1653
15	92	1647
16	98	1647
17	101	1589
18	107	1588
19	113	1586
20	119	1590
21	125	1591
22	132	1593
23	134	1543
24	135	1492
25	137	1449
26	141	1432
27	147	1434
28	153	1430
29	155	1397
30	161	1401
31	164	1378
32	170	1381
33	177	1385
34	182	1384
35	188	1384
36	195	1387
37	201	1390
38	208	1392
39	213	1390
40	220	1390
41	225	1388
42	232	1387
43	237	1383
44	243	1380
45	249	1379
46	255	1377
47	258	1359
48	264	1356
49	270	1354
50	276	1352
51	283	1349
52	289	1347
53	291	1326
54	297	1323
55	303	1321
56	308	1317
57	310	1294
58	316	1291
59	321	1286
60	323	1267
61	329	1264
62	335	1261
63	340	1256
64	345	1248
65	351	1246
66	357	1242
67	363	1239
68	369	1236
69	375	1233
70	381	1230
71	387	1227
72	394	1225
73	400	1223
74	406	1219
75	412	1216
76	418	1213
77	425	1209
78	431	1207
79	437	1204
80	443	1199
81	450	1196
82	456	1192
83	462	1188
84	468	1184
85	474	1180
86	480	1176
87	487	1173
88	492	1168
89	498	1163
90	505	1159
91	511	1156
92	518	1153
93	524	1149
94	531	1146
95	537	1141
96	543	1136
97	550	1133
98	556	1129
99	559	1118
100	561	1107
101	566	1100
102	573	1096
103	579	1092
104	586	1088
105	592	1084
106	599	1080
107	605	1076
108	611	1070
109	617	1067
110	624	1062
111	627	1052
112	633	1047
113	639	1044
114	646	1040
115	653	1037
116	659	1032
117	666	1028
118	673	1024
119	679	1019
120	686	1014
121	692	1010
122	699	1006
123	705	1001
124	712	997
125	718	992
126	724	987
127	731	982
128	737	978
129	743	972
130	750	968
131	756	962
132	763	958
133	770	954
134	777	949
135	783	944
136	790	940
137	797	936
138	804	931
139	811	927
140	817	922
141	824	917
142	830	912
143	836	906
144	843	901
145	849	896
146	855	890
147	862	885
148	865	877
149	872	872
150	878	866
151	884	861
152	891	856
153	897	851
154	904	845
155	910	840
156	916	835
157	923	830
158	929	824
159	936	819
160	941	813
161	948	807
162	953	801
163	960	796
164	963	788
165	970	783
166	976	777
167	982	771
168	988	766
169	994	760
170	1000	754
171	1006	749
172	1012	743
173	1018	737
174	1024	731
175	1031	726
176	1037	720
177	1043	715
178	1049	709
179	1054	703
180	1057	695
181	1063	689
182	1069	683
183	1076	678
184	1082	672
185	1088	667
186	1095	661
187	1100	655
188	1106	650
189	1113	644
190	1119	638
191	1125	632
192	1130	626
193	1137	621
194	1143	615
195	1148	609
196	1154	603
197	1160	598
198	1166	592
199	1172	586
200	1179	581
201	1185	575
202	1192	569
203	1198	563
204	1204	558
205	1210	552
206	1216	546
207	1222	540
208	1228	534
209	1234	529
210	1240	523
211	1247	517
212	1253	511
213	1259	506
214	1265	500
215	1271	494
216	1277	488
217	1282	482
218	1289	476
219	1295	470
220	1300	464
221	1306	459
222	1312	453
223	1319	447
224	1324	441
225	1328	435
226	1335	429
227	1341	423
228	1347	417
229	1354	412
230	1361	406
231	1367	400
232	1374	395
233	1380	389
234	1386	383
235	1393	377
236	1398	371
237	1405	366
238	1411	360
239	1417	354
240	1424	348
241	1429	342
242	1435	336
243	1442	331
244	1448	325
245	1455	319
246	1462	313
247	1468	307
248	1475	302
249	1481	296
250	1488	290
251	1492	284
252	1499	278
253	1505	272
254	1512	266
255	1518	260
256	1525	255
257	1531	249
258	1537	243
259	1544	237
260	1550	231
261	1556	225
262	1562	219
263	1568	213
264	1574	207
265	1580	202
266	1587	196
267	1593	190
268	1598	184
269	1605	178
270	1611	172
271	1617	166
272	1620	160
273	1626	154
274	1632	148
275	1638	142
276	1644	136
277	1650	130
278	1656	124
279	1662	118
280	1669	112
281	1674	106
282	1681	100
283	1686	95
284	1693	89
285	1698	83
286	1705	77
287	1710	71
288	1717	65
289	1723	59
290	1729	53
291	1735	47
292	1741	41
293	1746	35
294	1752	29
295	1758	23
296	1764	17
297	1769	11
298	1776	5
299	1781	0
